accountsservice 22.08.8-2
pipewire-audio 1:0.3.59-5
pipewire-jack 1:0.3.59-5
pipewire-pulse 1:0.3.59-5
pixman 0.42.2-1
pkgconf 1.8.0-1
pluma 1.26.0-2
polkit 122-1
poppler 22.11.0-1
poppler-data 0.4.11-2
poppler-glib 22.11.0-1
popt 1.18-3
procps-ng 3.3.17-1
psmisc 23.5-1
python 3.10.8-3
python-gobject 3.42.2-1
rav1e 0.5.1-2
re2 1:20220601-1
readline 8.2.001-1
ripgrep 13.0.0-2
run-parts 5.5-1
rustup 1.25.1-2
samba 4.17.2-2
sbc 2.0-1
sdl2 2.24.2-1
sed 4.8-1
serd 0.30.16-1
shadow 4.11.1-3
shared-mime-info 2.0+155+gf4e7cbc-1
slang 2.3.3-1
smbclient 4.17.2-2
snappy 1.1.9-2
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.39.4-1
sratom 0.6.14-1
srt 1.5.1-3
startup-notification 0.12-7
svt-av1 1.3.0-1
sysfsutils 2.1.1-1
systemd 251.7-4
systemd-libs 251.7-4
systemd-sysvcompat 251.7-4
talloc 2.3.4-1
tar 1.34-1
tdb 1.4.7-1
tevent 1:0.13.0-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
tpm2-tss 3.2.0-3
tracker3 3.4.1-1
transmission-gtk 3.00-6
tzdata 2022f-1
udisks2 2.9.4-1
unzip 6.0-19
upd72020x-fw 20200826-3
upower 1.90.0-1
usbmuxd 1.1.1-1
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vmaf 2.3.1-1
volume_key 0.3.12-7
vte-common 0.70.1-1
vte3 0.70.1-1
vulkan-icd-loader 1.3.226-1
vulkan-intel 22.2.2-1
wayland 1.21.0-1
wd719x-firmware 1-7
webkit2gtk 2.38.2-1
webkit2gtk-4.1 2.38.2-1
webrtc-audio-processing 0.3.1-3
which 2.21-5
wireless_tools 30.pre9-3
wireplumber 0.4.12-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-6
wpebackend-fdo 1.14.0-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xdg-dbus-proxy 0.1.4-1
xf86-input-libinput 1.2.1-1
xfsprogs 5.19.0-2
xkeyboard-config 2.37-1
xorg-fonts-encodings 1.0.6-1
xorg-server 21.1.4-1
xorg-server-common 21.1.4-1
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xinit 1.4.1-3
xorg-xkbcomp 1.4.5-1
xorg-xmodmap 1.0.11-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorgproto 2022.2-1
xvidcore 1.3.7-2
xz 5.2.7-1
zenity 3.43.0-1
zeromq 4.3.4-2
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-1
zstd 1.5.2-7
Unneeded Packages Installed Explicitly:
  aic94xx-firmware        	 30.03 K - Adaptec SAS 44300, 48300, 58300 Sequencer Firmware for AIC94xx driver
  atril                   	192.42 M - MATE document viewer (mate-extra)
  autoconf                	  2.20 M - A GNU tool for automatically configuring source code (base-devel)
  automake                	  1.57 M - A GNU tool for automatically creating Makefiles (base-devel)
  base                    	  2.44 M - Minimal package set to define a basic Arch Linux installation
  bison                   	  2.53 M - The GNU general-purpose parser generator (base-devel)
 *bluez                   	  9.60 M - Daemons for the bluetooth protocol stack
  caja-image-converter    	 11.20 M - A Caja extension for simple image conversions (mate-extra)
  caja-open-terminal      	 34.81 K - A Caja extension for opening terminals in arbitrary local paths (mate-extra)
  caja-sendto             	189.48 K - A Caja extension for sending files (mate-extra)
  caja-share              	 56.75 M - A Caja extension to quickly share a folder (mate-extra)
  caja-wallpaper          	 20.67 K - A Caja extension to quickly set wallpaper (mate-extra)
  caja-xattr-tags         	 20.31 K - A Caja extension to see tags stored on xattrs (mate-extra)
  code                    	281.17 M - The Open Source build of Visual Studio Code (vscode) editor
  debugedit               	104.88 K - Tool to mangle source locations in .debug files (base-devel)
  engrampa                	 13.94 M - Archive manipulator for MATE (mate-extra)
  eom                     	  9.08 M - An image viewing and cataloging program for MATE (mate-extra)
  fakeroot                	134.23 K - Tool for simulating superuser privileges (base-devel)
  flex                    	971.00 K - A tool for generating text-scanning programs (base-devel)
 *gcc                     	175.47 M - The GNU Compiler Collection - C and C++ frontends (base-devel)
  groff                   	  9.31 M - GNU troff text-formatting system (base-devel)
  htop                    	362.45 K - Interactive process viewer
 *intel-media-driver      	 34.39 M - Intel Media Driver for VAAPI — Broadwell+ iGPUs
  intel-ucode             	  4.94 M - Microcode update files for Intel CPUs
  librewolf-bin           	342.85 M - Community-maintained fork of Firefox, focused on privacy, security and freedom.
 *linux-firmware          	163.27 M - Firmware files for Linux
  linux-firmware-qlogic   	 10.70 M - Firmware files for Linux - qlogic / Firmware for QLogic devices
  linux-zen               	169.24 M - The Linux ZEN kernel and modules
  make                    	 46.37 M - GNU make utility to maintain groups of programs (base-devel)
  mate-applets            	 43.13 M - Applets for MATE panel (mate-extra)
  mate-backgrounds        	 44.91 M - Background images and data for MATE (mate)
  mate-calc               	  6.31 M - Calculator for the MATE desktop environment (mate-extra)
  mate-control-center     	 15.00 M - The Control Center for MATE (mate)
 *mate-icon-theme         	 28.12 M - MATE icon theme (mate)
  mate-icon-theme-faenza  	 75.90 M - Faenza icon theme for MATE (mate-extra)
  mate-media              	  1.36 M - MATE Media Tools (mate-extra)
  mate-netbook            	333.62 K - A simple window management tool (mate-extra)
  mate-notification-daemon	549.02 K - Notification daemon for MATE (mate)
  mate-polkit             	273.82 K - PolicyKit integration for the MATE desktop (mate)
  mate-power-manager      	 13.26 M - Power management tool for the MATE desktop (mate-extra)
  mate-screensaver        	  6.17 M - Screensaver for MATE (mate-extra)
  mate-sensors-applet     	  4.07 M - A MATE Panel applet to display readings from hardware sensors, including CPU temperature, fan speeds and voltage readings (mate-extra)
